player,club,lineup_status,confirmed,captured_at,bookmaker,goal_odds,assist_odds,sot_odds
J. Wallace,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.75,,
T. Horvat,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
J. Solís,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
M. Leonard,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
Y. Hirakawa,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
T. Iwata,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
D. Fry,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
J. Knight,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
E. Laird,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
B. Osayi-Samuel,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
A. Randell,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
P. Neumann,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
C. Klarer,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
L. McNally,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
K. Lund,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Robinson,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Cochrane,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Williams,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.0,,
L. Buchanan,Birmingham City,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.0,,
R. Dickie,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,15.0,,
E. Morrison,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,16.0,,
R. Atkinson,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
S. Naylor,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
N. Eile,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
G. Yah,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
R. Cardines,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,19.0,,
L. Eissat,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,21.0,,
C. Pring,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,23.0,,
G. Tanner,Bristol City,start,true,2026-08-22T14:30:00Z,oddschecker-best,31.0,,
M. Touré,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
M. Ivanovic,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.2,,
J. Coburn,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.25,,
J. Makama,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.25,,
A. Matthews,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
E. Mundle-Smith,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
L. Dykes,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
M. Kvistgaarden,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
K. Lisbie,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
