player,club,lineup_status,confirmed,captured_at,bookmaker,goal_odds,assist_odds,sot_odds
M. Solomon,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.9,,
A. Engels,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.8,,
L. Orford,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.25,,
M. Godden,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
D. Kanu,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
J. Ward-Prowse,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.8,,
T. Campbell,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
C. Kelman,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
M. Leaburn,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
S. Carey,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
M. Alli,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
K. Mavropanos,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
M. Mbick,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
H. Knibbs,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
M. Kanté,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
S. Magassa,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
R. Apter,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
E. Álvarez,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
A. Wan-Bissaka,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
G. Docherty,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
J. Todibo,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
K. Casey,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Veltman,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Mwamba,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
E. Hadji Malick Diouf,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Rankin-Costello,Charlton Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
D. Mubama,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.5,,
C. Larin,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.65,,
D. Downs,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.9,,
F. Azaz,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
C. Archer,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.2,,
L. Dobbin,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.3,,
L. Scienza,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.3,,
R. Akachukwu,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
S. Edozie,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
G. Hirst,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
K. Matsuki,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.4,,
S. Gallagher,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
R. Bozeník,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
L. Cissé,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
M. Manhoef,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
S. Thomas,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.6,,
T. Fellows,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.8,,
A. Ampah,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.25,,
C. Jander,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
J. Larios,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
R. Manning,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
T. Martin,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
T. Harwood-Bellis,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
T. Rigo,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
C. Bragg,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
Y. Sugawara,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
F. Downes,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
J. Bree,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
Welington,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
S. Ingelsson,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
E. Galbraith,Stoke City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Stephens,Southampton,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
R. Burrell,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
R. Kone,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
A. Lloyd,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
J. Obikwu,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
K. Dembélé,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
R. Kolli,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.7,,
S. Dalby,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
I. Chair,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
R. Hardie,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.25,,
M. Forss,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
P. Smyth,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.8,,
J. McAtee,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
K. Poku,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
R. Rodrigues,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
T. Gale,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
H. Vale,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
P. Sanyaolu,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
K. Saito,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
N. Madsen,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
K. Dong,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
S. Iling-Junior,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
J. Sheehan,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
G. Larrazabal,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
X. Simons,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
D. Watson,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
J. Dunne,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
K. Morgan,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
G. Kamara,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
J. Varane,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
T. Lamptey,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
L. Stephenson,Bolton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
B. Kemper,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
D. Cirkin,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
K. Adamson,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
R. Edwards,Queens Park Rangers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
P. Agyemang,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.55,,
C. Morris,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.8,,
F. Bilbija,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.3,,
L. Salvesen,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
R. Brewster,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
Y. Salech,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.8,,
K. Etete,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
S. Szmodics,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
C. Robinson,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
C. Blackett-Taylor,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
R. Colwill,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
C. Willock,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
I. Davies,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
C. Ashford,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
B. Clark,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
C. Smith,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
O. Eames,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
T. Nyakuhwa,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
J. Moylan,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
K. Goudmijn,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
O. Tanner,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
D. Turnbull,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
A. Mowatt,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
O. Fraulo,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
J. Colwill,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
C. Allen,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
R. Tankiewicz,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
A. Robertson,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
L. Travis,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
C. Forsyth,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
E. King,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
M. Clarke,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
P. Ng,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
S. Langås,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
P. Moreno,Cardiff City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
D. Murkin,Derby County,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
Z. Flemming,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.01,,
J. Morgan,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
B. Stewart,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
A. Barnes,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
A. Heggebø,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.7,,
D. Satpaev,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.7,,
A. Hountondji,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.84,,
Z. Amdouni,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
A. Broja,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.3,,
T. Bany,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
M. Obafemi,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.4,,
L. Foster,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
M. Johnston,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.21,,
I. Price,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
J. Banel,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
M. Edwards,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
J. Bruun Larsen,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
A. Ramsey,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
L. Castell,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
O. Bostock,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.06,,
F. Myhre,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
H. Mejbri,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
H. Whitwell,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.43,,
J. Molumby,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
J. Laurent,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.82,,
J. Cullen,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
R. Nzingoula,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
G. Campbell,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.8,,
O. Diakité,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
N. Phillips,West Bromwich Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.5,,
A. Ahmedhodzic,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
U. Raghouber,Burnley,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. May,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.45,,
F. Okoronkwo,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.75,,
B. Hanlan,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
I. Hutchinson,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
H. Adelakun,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
O. Bailey,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
J. Thomas,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
R. Cleary,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
C. Taylor,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
L. Alker,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
M. Kirk,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
L. Ayinde,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
F. Jaló,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
H. Clifton,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
K. Graham,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
A. Richards,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
C. McGeehan,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
V. Yoganathan,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
M. Pearson,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
G. Broadbent,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
P. Kelly,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
K. Nwakali,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
R. Gotts,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
T. Nixon,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
L. Connell,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
D. Robinson,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
T. Noslin,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
G. Gent,Barnsley,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Sterry,Doncaster Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
L. Nordås,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.4,,
D. Cole,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.63,,
J. Yates,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.8,,
N. Wells,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.85,,
C. Marshall,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
G. Kodua,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
J. Luker,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
S. Morris,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.9,,
J. Clark,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
E. Lawrence,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
L. Smyth,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
K. Palmer,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.4,,
Z. Denman,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
J. Richards,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.9,,
L. Ndlovu,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
E. Acquah,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
G. Saville,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
S. Baptiste,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
C. Roberts,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
S. Sandal,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
J. Jones,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
H. Mustapha,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
B. Benagr,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
I. Jones,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
O. Cooper,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
C. Grant,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
M. Kouhyar,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
T. Mengi,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
M. Sanders,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
R. Walters,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
H. Odoffin,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
L. Walsh,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
D. Lipsiuc,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
S. Robertson,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
H. Ashby,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
D. Campbell,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
J. Evans,Notts County,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
M. Andersen,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
K. Naismith,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Johnson,Luton Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Marriott,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
J. Jones,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
J. Stockley,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
A. Hackford,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
O. Foyo,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
S. Patton,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
A. Sasu,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
J. Brown,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
M. Browne,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
K. Lisbie,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
J. Stokes,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
T. Saint-Louis,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
D. Kyerewaa,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
P. Lane,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
J. Nkeng,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
L. Wing,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
M. Hippolyte,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
L. Howard,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
C. Savage,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
J. Tilley,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
C. Maycock,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
Z. Nelson,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
T. Sackey,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
A. Smith,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
L. Fraser,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
R. Williams,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
S. Seddon,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
P. Duah,Reading,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
D. McCoy-Splatt,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
O. Harrison,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
R. Johnson,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
D. Sweeney,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Lewis,AFC Wimbledon,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
M. Cheek,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.88,,
N. Kabamba,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
L. Appéré,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
C. Stead,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
S. Lavery,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
V. Adeboyejo,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
S. Kader,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
R. Loft,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.1,,
B. Knight,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
D. Efobi,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
G. Ahadme,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
C. Whitely,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
I. Heath,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
G. McConnell,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
B. Thompson,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.25,,
S. Kaikai,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
G. Hoddle,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
E. Archer,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
T. Brenan,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
W. Hondermarck,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
M. Ifill,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
M. Pinnock,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
S. McLoughlin,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
P. Mpanzu,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
J. McKiernan,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
O. Sowunmi,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.5,,
L. Bennett,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
D. Woodman,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
Z. Bradshaw,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
F. Taylor,Bromley,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
P. Bauer,Cambridge United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Bristric,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.5,,
